pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y
0,0,0,0,0,0,602.12,386.92
0,0,0,0,0,0,603.33,387.18
0,0,0,0,0,0,604.23,387.23
0,0,0,0,0,0,604.86,387.36
0,0,0,0,0,0,605.92,387.76
0,0,0,0,0,0,606.97,388.64
0,0,0,0,0,0,607.82,389.15
0,0,0,0,0,0,609.01,389.11
0,0,0,0,0,0,610.09,388.73
0,0,0,0,0,0,611.03,388.23
0,0,0,0,0,0,612.15,386.87
0,0,0,0,0,0,613.11,385.49
0,0,0,0,0,0,614.03,383.33
0,0,0,0,0,0,615.1,381.61
0,0,0,0,0,0,616,380.77
0,0,0,0,0,0,616.9,380.06
0,0,579.900316,390.828228,0,0,617.94,379.41
0,0,581.920305,389.252735,0,0,619.14,378.82
0,0,585.286954,390.040481,0,0,620.01,378.15
0,0,585.960284,389.252735,0,0,621.24,376.64
0,0,589.326933,386.889497,0,0,622.71,374.85
0,0,591.346923,385.314004,0,0,624.59,371.85
0,0,591.346923,381.375274,0,0,626.28,368.03
0,0,595.386902,379.012035,0,0,628.09,364.53
0,0,595.386902,375.073304,0,0,629.85,361.14
0,0,594.713572,372.710066,0,0,632.03,357.28
0,0,595.386902,371.922319,0,0,633.98,353.33
0,0,602.79353,368.771335,0,0,635.88,349.1
0,0,598.753551,365.62035,0,0,637.81,345.36
0,0,601.44687,364.044858,0,0,639.81,341.71
0,0,602.1202,365.62035,0,0,641.86,338.88
0,0,596.733561,364.044858,0,0,643.91,336.51
0,0,604.813519,367.195842,0,0,645.77,334.57
0,0,600.10021,370.346827,0,0,647.85,332.19
0,0,606.833509,368.771335,0,0,641.84666,323.869803
0,0,604.813519,372.710066,0,0,640.97,318.04
0,0,606.833509,378.224289,0,0,0,0
0,0,609.526828,384.526258,0,0,645.886639,319.931072
0,0,608.853498,394.766958,0,0,647.906628,323.082057
0,0,602.79353,411.309628,0,0,645.886639,327.020788
0,0,604.140189,431.003282,0,0,643.866649,339.624726
0,0,605.486849,453.060175,0,0,645.213309,356.955142
0,0,604.813519,482.99453,0,0,642.519989,381.375274
0,0,0,0,0,0,639.82667,393.191466
0,0,0,0,0,0,635.786691,419.974836
0,0,0,0,0,0,632.05,435.66
0,0,0,0,0,0,625.686744,449.90919
0,0,0,0,0,0,621.5,461.34
0,0,0,0,0,0,620.300105,463.300875
0,0,0,0,0,0,617.21,471.15
0,0,0,0,0,0,619.626775,479.055799
0,0,0,0,0,0,619.54,486.89
0,0,0,0,0,0,625.686744,487.721007
