ACCELEROMETER X,ACCELEROMETER Y,ACCELEROMETER Z,GRAVITY X,GRAVITY Y,GRAVITY Z,LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,GYROSCOPE X,GYROSCOPE Y,GYROSCOPE Z,MAGNETIC FIELD X,MAGNETIC FIELD Y,MAGNETIC FIELD Z,ORIENTATION Z,ORIENTATION X,ORIENTATION Y,ATMOSPHERIC PRESSURE (Pascal),LOCATION Latitude,LOCATION Longitude,LOCATION Speed,LOCATION ORIENTATION,FRAME
10.226196,-0.459839,-0.612976,9.781066,-0.43,-0.562362,-4.76E-04,0.006316,0.033475,-0.011032,-0.024109,-0.024902,21.1889,-17.0284,-0.3027,175.7088,2.5131,-93.2906,102044.92,-33.964302,18.472769,0,,41
10.187898,-0.459686,-0.589661,9.780796,-0.427143,-0.569184,0.019307,-0.067053,0.03931,-0.017426,-0.027298,-0.022766,21.0133,-16.9405,0.0395,175.7088,2.5131,-93.2906,102044.92,-33.964302,18.472769,0,,42
10.187898,-0.459686,-0.589661,9.780796,-0.427143,-0.569184,-0.036978,0.043725,0.03036,-0.007843,-0.029434,-0.021713,20.8374,-17.2043,-0.0462,175.6587,2.4964,-93.3305,102044.92,-33.964302,18.472769,0,,43
10.202866,-0.398056,-0.574982,9.780564,-0.41985,-0.578508,-0.036978,0.043725,0.03036,-0.007843,-0.029434,-0.021713,20.8374,-17.2043,-0.0462,175.6587,2.4964,-93.3305,102044.92,-33.964302,18.472769,0,,44
10.187898,-0.386963,-0.544434,9.780546,-0.41732,-0.580651,-0.010646,0.071664,-0.002885,-3.81E-04,-0.020905,-0.011063,20.6615,-17.5558,-0.1318,175.6587,2.4964,-93.3305,102044.92,-33.964302,18.472769,0,,45
10.187898,-0.386963,-0.544434,9.780546,-0.41732,-0.580651,-0.010646,0.071664,-0.002885,0.002823,-0.024109,0.001724,20.6615,-17.5558,-0.1318,175.6587,2.4964,-93.3305,102045.92,-33.964302,18.472769,0,,46
10.207048,-0.439377,-0.572647,9.78047,-0.414023,-0.58429,-0.035415,0.021996,0.054268,-0.0121,-0.025177,-0.00679,20.7493,-17.7315,-0.1318,175.8112,2.4197,-93.4188,102045.92,-33.964302,18.472769,0,,47
10.219956,-0.433868,-0.696121,9.78047,-0.414023,-0.58429,-0.035415,0.021996,0.054268,-0.0121,-0.025177,-0.00679,20.7493,-17.7315,-0.1318,175.8112,2.4197,-93.4188,102045.92,-33.964302,18.472769,0,,48
10.219956,-0.433868,-0.696121,9.780208,-0.412837,-0.589498,-0.015296,-0.005745,-0.076073,-0.021683,-0.010254,-0.014252,20.7493,-17.7315,-0.0462,175.8112,2.4197,-93.4188,102045.92,-33.964302,18.472769,0,,49
10.283662,-0.427475,-0.543182,9.780242,-0.411287,-0.590013,-0.017706,0.00666,0.016857,-0.03447,-0.01239,-0.018509,20.7493,-17.7315,-0.0462,175.8112,2.4197,-93.4188,102045.92,-33.964302,18.472769,0,,50
10.283662,-0.427475,-0.543182,9.780242,-0.411287,-0.590013,-0.017706,0.00666,0.016857,-0.03447,-0.01239,-0.018509,20.7493,-17.7315,-0.0462,175.8112,2.4197,-93.4188,102045.92,-33.964302,18.472769,0,,51
10.248246,-0.380173,-0.435089,9.780432,-0.407629,-0.589385,0.035172,0.005177,0.105842,-0.017426,-0.01239,-0.028107,20.837,-17.7315,-0.3883,175.7784,2.3823,-93.4486,102043.92,-33.964302,18.472769,0,,52
10.204422,-0.383072,-0.421753,9.780908,-0.400199,-0.586583,0.035172,0.005177,0.105842,-0.006775,-0.030502,-0.022766,20.837,-17.8194,-0.5594,175.7784,2.3823,-93.4486,102043.92,-33.964302,18.472769,0,,53
10.204422,-0.433289,-0.397949,9.780908,-0.400199,-0.586583,-0.024608,0.035575,0.191871,-0.006775,-0.030502,-0.014252,20.837,-17.8194,-0.5594,175.7784,2.3823,-93.4486,102043.92,-33.964302,18.472769,0,,54
