pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y
0,0,0,0,0,0,641.08,394.13
0,0,0,0,0,0,642.2,393.84
0,0,0,0,0,0,643.15,393.3
0,0,0,0,0,0,644.26,391.97
0,0,0,0,0,0,645.11,390.58
0,0,0,0,0,0,645.9,389.12
0,0,0,0,0,0,647.31,387.84
0,0,0,0,0,0,648.16,386.99
0,0,0,0,0,0,648.92,386.15
0,0,626.360074,390.040481,0,0,649.77,385.26
0,0,620.973435,390.828228,0,0,650.85,384.35
0,0,624.340084,388.464989,0,0,652.1,383.05
0,0,629.726723,390.040481,0,0,653.84,381.83
0,0,631.746712,387.677243,0,0,656.14,380.05
0,0,625.013414,390.828228,0,0,658.26,377.19
0,0,628.380063,381.375274,0,0,660.32,373.94
0,0,635.113361,378.224289,0,0,662.16,370.62
0,0,630.400053,378.224289,0,0,663.83,367.17
0,0,632.420042,373.497812,0,0,666.21,363.7
0,0,637.133351,367.195842,0,0,667.82,360.09
0,0,641.17333,366.408096,0,0,670.07,356.83
0,0,641.17333,366.408096,0,0,663.393214,346.714442
0,0,635.786691,366.408096,0,0,665.413204,338.049234
0,0,641.17333,365.62035,0,0,666.01,334.36
0,0,641.84666,364.832604,0,0,667.15,331.04
0,0,645.213309,370.346827,0,0,668.26,328.05
0,0,642.519989,371.134573,0,0,669.11,324.43
0,0,643.866649,371.134573,0,0,670.02,319.33
0,0,645.886639,371.922319,0,0,671.22,314.03
0,0,646.559968,376.648796,0,0,674.839821,319.931072
0,0,648.579958,382.950766,0,0,678.14,320.16
0,0,648.579958,397.130197,0,0,680.95,322.95
0,0,649.253288,413.672867,0,0,683.88,330.27
0,0,646.559968,435.729759,0,0,686.81,341.92
0,0,647.906628,465.664114,0,0,676.859811,360.893873
0,0,645.213309,487.721007,0,0,673.493161,377.436543
0,0,0,0,0,0,671.473172,404.219912
0,0,0,0,0,0,669.453183,425.489059
0,0,0,0,0,0,664.066544,440.456236
0,0,0,0,0,0,661.373225,453.847921
0,0,0,0,0,0,658.679905,465.664114
