pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y
403.462963,202.969799,0,0,519.973961,158.443107,681.82,528.03
400.560469,194.271812,0,0,519.973961,145.839168,681.99,529.62
398.625472,189.439597,0,0,520.647291,138.749453,682.33,531.94
398.625472,183.64094,0,0,520.647291,127.721007,683.01,534.03
398.625472,172.043624,0,0,522.66728,125.357768,682.96,535.97
397.657974,162.379195,0,0,524.68727,121.419037,682.97,537.96
397.657974,151.748322,0,0,523.34061,115.904814,682.53,540.09
398.625472,146.916107,0,0,528.053919,114.329322,682.15,541.98
402.495465,136.285235,0,0,533.440558,118.268053,681.74,544.02
402.495465,129.520134,0,0,534.113887,119.055799,681.56,545.93
404.430461,124.687919,0,0,536.807207,122.206783,681.2,547.78
405.397959,116.956376,0,0,532.767228,130.084245,680.51,549.98
409.267952,123.721477,0,0,534.787217,131.659737,679.87,552.03
415.07294,126.620805,0,0,532.093898,136.386214,673.493161,557.830416
422.812925,124.687919,0,0,533.440558,147.414661,0,0
423.780423,127.587248,0,0,531.420568,151.353392,0,0
432.487906,133.385906,0,0,532.767228,161.594092,0,0
434.422902,141.11745,0,0,532.767228,169.471554,0,0
440.227891,150.781879,0,0,534.113887,182.863239,0,0
445.065382,161.412752,695.647392,512.231544,536.133877,193.891685,0,0
451.837868,175.909396,692.744898,506.432886,541.520516,210.434354,0,0
455.707861,189.439597,689.842404,498.701342,542.193845,226.977024,0,0
459.577853,202.003356,694.679894,475.506711,546.907154,239.580963,0,0
465.382842,211.667785,694.679894,463.909396,549.600473,252.184902,0,0
469.252834,226.16443,690.809902,449.412752,553.640452,265.576586,0,0
471.187831,240.661074,690.809902,443.614094,557.14,278.86,0,0
472.155329,251.291946,690.809902,428.151007,560.61,291.88,0,0
475.057823,260.956376,685.972411,397.224832,565.087059,307.327133,0,0
476.992819,269.654362,685.004913,382.728188,563.06707,313.629103,0,0
478.927816,275.45302,683.069917,360.5,564.41373,333.322757,0,0
476.025321,282.218121,678.232426,344.07047,558.353761,341.200219,0,0
468.285336,287.050336,677.264928,325.708054,554.987112,343.563457,0,0
463.447846,288.016779,662.752457,271.587248,555.660442,354.591904,0,0
454.740363,294.781879,654.044974,251.291946,552.293793,364.044858,0,0
446.03288,303.479866,648.239985,237.761745,545.560494,363.257112,0,0
454.740363,304.446309,642.434996,186.540268,543.540505,371.922319,0,0
449.902872,309.278523,641.467498,164.312081,540.173856,380.587527,0,0
442.162887,317.010067,639.532502,123.721477,540.847186,379.799781,0,0
444.097884,331.506711,632.760015,99.560403,543.540505,390.828228,0,0
451.837868,350.83557,629.857521,72.5,545.560494,397.130197,0,0
457.642857,362.432886,631.792517,58.969799,549.600473,405.795405,0,0
469.252834,387.560403,627.922525,43.506711,552.967123,420.762582,0,0
473.122827,415.587248,624.052532,32.875839,557.680431,440.456236,0,0
484.732804,444.580537,625.02003,36.741611,560.373751,461.725383,0,0
495.375283,471.64094,625.987528,40.607383,563.7404,479.843545,0,0
506.017763,508.365772,626.955026,50.271812,568.453709,500.324945,0,0
514.725246,533.493289,630.19,60.32,0,0,542.867175,78.880744
521.497732,564.419463,633.727513,80.231544,0,0,542.867175,67.852298
530.205215,584.714765,638.565004,100.526846,0,0,538.827196,58.399344
536.010204,618.540268,638.565004,113.090604,0,0,527.380589,41.856674
540.847695,646.567114,635.662509,131.45302,0,0,517.280642,29.252735
0,0,630.825019,154.647651,0,0,504.487375,30.828228
0,0,622.117536,163.345638,0,0,505.834035,34.766958
0,0,616.312547,185.573826,0,0,510.547344,41.856674
0,0,608.14,201.66,0,0,515.260652,57.611597
0,0,604.70257,217.466443,0,0,519.300631,68.640044
0,0,606.637566,237.761745,0,0,526.03393,85.182713
0,0,606.637566,245.493289,0,0,532.093898,104.088621
0,0,609.54006,255.157718,0,0,540.847186,119.055799
0,0,620.93,264.01,0,0,547.580484,134.022976
0,0,622.117536,264.822148,0,0,554.313782,146.626915
0,0,625.987528,270.620805,0,0,567.107049,173.410284
0,0,625.987528,271.587248,0,0,573.840347,192.316193
0,0,629.857521,280.285235,0,0,579.900316,206.495624
0,0,633.727513,286.083893,0,0,596.733561,224.613786
574.710128,637.869128,640.5,284.151007,0,0,600.77354,248.246171
574.710128,622.40604,655.012472,293.815436,0,0,616.260126,267.939825
575.677627,591.479866,664.687453,310.244966,0,0,622.993425,279.756018
566.002646,566.352349,686.939909,305.412752,0,0,633.093372,291.57221
568.90514,536.392617,700.484883,301.54698,0,0,638.480011,304.176149
569.872638,495.802013,710.159864,302.513423,0,0,647.906628,317.567834
569.872638,465.842282,711.127362,309.278523,0,0,653.966597,330.171772
564.067649,439.748322,724.672336,316.043624,0,0,655.986586,345.13895
564.067649,403.989933,728.542328,328.607383,0,0,660.699895,357.742888
566.970144,381.761745,732.41232,339.238255,0,0,665.413204,368.771335
